# English key, Simplified Chinese, Japanese, Korean, Spanish, French, German, Portuguese
System	跟随系统	システム	시스템	Sistema	Système	System	Sistema
Interface	界面语言	表示言語	표시 언어	Idioma	Langue	Sprache	Idioma
Panel Settings	面板设置	パネル設定	패널 설정	Ajustes del panel	Réglages du panneau	Panel-Einstellungen	Configurações do painel
Panel settings	面板设置	パネル設定	패널 설정	Ajustes del panel	Réglages du panneau	Panel-Einstellungen	Configurações do painel
Appearance	外观	外観	모양	Apariencia	Apparence	Darstellung	Aparência
Input	输入	入力	입력	Entrada	Saisie	Eingabe	Entrada
Model	模型	モデル	모델	Modelo	Modèle	Modell	Modelo
Search settings	搜索设置	設定を検索	설정 검색	Buscar ajustes	Rechercher un réglage	Einstellungen suchen	Buscar configurações
No matching settings	没有匹配的设置	該当する設定なし	일치하는 설정 없음	Sin coincidencias	Aucun réglage trouvé	Keine Treffer	Nenhuma configuração encontrada
Text	文字大小	文字サイズ	글자 크기	Texto	Texte	Textgröße	Texto
Theme	主题	テーマ	테마	Tema	Thème	Design	Tema
Title Bar	标题栏	タイトルバー	제목 표시줄	Barra de título	Barre de titre	Titelleiste	Barra de título
Show	显示	表示	표시	Mostrar	Afficher	Anzeigen	Mostrar
Hide	隐藏	非表示	숨기기	Ocultar	Masquer	Ausblenden	Ocultar
Font	字体	フォント	글꼴	Fuente	Police	Schrift	Fonte
Auto	自动	自動	자동	Auto	Auto	Auto	Auto
Density	候选密度	候補の密度	후보 밀도	Densidad	Densité	Dichte	Densidade
Compact	紧凑	コンパクト	좁게	Compacta	Compacte	Kompakt	Compacta
Cozy	舒适	ゆったり	넓게	Cómoda	Confortable	Bequem	Confortável
Spacing	字间距	文字間隔	자간	Espaciado	Espacement	Abstand	Espaçamento
Tight	紧密	狭い	좁게	Estrecho	Serré	Eng	Estreito
Normal	标准	標準	보통	Normal	Normal	Normal	Normal
Relaxed	宽松	広い	넓게	Amplio	Large	Weit	Amplo
Smooth	平滑	滑らか	부드럽게	Suave	Lissé	Glatt	Suave
Sharp	清晰	くっきり	선명하게	Nítido	Net	Scharf	Nítido
Preview	预览	プレビュー	미리 보기	Vista previa	Aperçu	Vorschau	Prévia
Trim	简略	省略	간략히	Breve	Bref	Kurz	Breve
Full	完整	全体	전체	Completa	Complet	Vollständig	Completa
Tap Slop	点击容差	タップ許容幅	탭 허용 범위	Margen de toque	Marge du toucher	Tipptoleranz	Margem do toque
Tap Timeout	点击时限	タップ制限時間	탭 제한 시간	Tiempo de toque	Durée du toucher	Tippdauer	Tempo do toque
Target Slop	热区扩展	操作範囲の拡張	터치 영역 여유	Margen del botón	Marge de la cible	Zieltoleranz	Margem do botão
Voice Auto	语音自动填入	音声の自動挿入	음성 자동 삽입	Voz automática	Saisie vocale auto	Sprache automatisch	Voz automática
On	开启	オン	켜짐	Sí	Activé	An	Ativado
Off	关闭	オフ	꺼짐	No	Désactivé	Aus	Desativado
Provider	模型服务	モデルサービス	모델 서비스	Servicio	Service	Dienst	Serviço
Configured service	已配置的服务	設定済みサービス	설정된 서비스	Servicio configurado	Service configuré	Konfigurierter Dienst	Serviço configurado
Tone	生成风格	生成スタイル	생성 스타일	Estilo	Style	Stil	Estilo
Focused	严谨	正確	정확하게	Preciso	Précis	Präzise	Preciso
Balanced	均衡	バランス	균형 있게	Equilibrado	Équilibré	Ausgewogen	Equilibrado
Expressive	丰富	表現豊か	풍부하게	Expresivo	Expressif	Ausdrucksstark	Expressivo
Custom	自定义	カスタム	사용자 지정	Personalizado	Personnalisé	Benutzerdefiniert	Personalizado
Custom ({})	自定义（{}）	カスタム（{}）	사용자 지정 ({})	Personalizado ({})	Personnalisé ({})	Benutzerdefiniert ({})	Personalizado ({})
Daylight	明亮	ライト	밝게	Claro	Clair	Hell	Claro
Device Dark	深色	ダーク	어둡게	Oscuro	Sombre	Dunkel	Escuro
High Contrast	高对比度	高コントラスト	고대비	Alto contraste	Contraste élevé	Hoher Kontrast	Alto contraste
Type a seed word or phrase	输入词语或句子	単語や文章を入力	단어나 문장을 입력하세요	Escribe una palabra o frase	Saisissez un mot ou une phrase	Wort oder Satz eingeben	Digite uma palavra ou frase
Suzaku · Input	朱雀 · 输入	Suzaku · 入力	Suzaku · 입력	Suzaku · Entrada	Suzaku · Saisie	Suzaku · Eingabe	Suzaku · Entrada
Baihu · Input	白虎 · 输入	Baihu · 入力	Baihu · 입력	Baihu · Entrada	Baihu · Saisie	Baihu · Eingabe	Baihu · Entrada
Qinglong · Input	青龙 · 输入	Qinglong · 入力	Qinglong · 입력	Qinglong · Entrada	Qinglong · Saisie	Qinglong · Eingabe	Qinglong · Entrada
Xuanwu · Input	玄武 · 输入	Xuanwu · 入力	Xuanwu · 입력	Xuanwu · Entrada	Xuanwu · Saisie	Xuanwu · Eingabe	Xuanwu · Entrada
Keyboard input	键盘输入	キーボード入力	키보드 입력	Teclado	Clavier	Tastatureingabe	Teclado
Tap to type	点击按键输入	タップして入力	눌러서 입력	Toca para escribir	Touchez pour saisir	Zum Tippen klicken	Toque para digitar
Space	空格	スペース	공백	Espacio	Espace	Leertaste	Espaço
Voice input	语音输入	音声入力	음성 입력	Entrada de voz	Saisie vocale	Spracheingabe	Entrada de voz
Handwrite input	手写输入	手書き入力	손글씨 입력	Escritura a mano	Écriture manuscrite	Handschrift	Escrita à mão
Handwriting input	手写输入	手書き入力	손글씨 입력	Escritura a mano	Écriture manuscrite	Handschrift	Escrita à mão
Trace on canvas	在画布上书写	ここに書いてください	여기에 쓰세요	Escribe en el lienzo	Écrivez sur la zone	Hier schreiben	Escreva na área
Word suggestions	词候选	単語候補	단어 후보	Palabras sugeridas	Mots proposés	Wortvorschläge	Sugestões de palavras
Word suggestions  |  {}	词候选  |  {}	単語候補  |  {}	단어 후보  |  {}	Palabras  |  {}	Mots  |  {}	Wörter  |  {}	Palavras  |  {}
Back	撤回	戻す	되돌리기	Atrás	Retour	Zurück	Voltar
Translation	文本翻译	翻訳	번역	Traducción	Traduction	Übersetzung	Tradução
From	原文	原文	원문	De	De	Von	De
To	译为	訳文	대상	A	Vers	Nach	Para
Local model	本机模型	ローカルモデル	로컬 모델	Modelo local	Modèle local	Lokales Modell	Modelo local
Cloud model	云端模型	クラウドモデル	클라우드 모델	Modelo en la nube	Modèle cloud	Cloud-Modell	Modelo na nuvem
Local · Review	本机 · 请核对	ローカル · 要確認	로컬 · 확인 필요	Local · Revisar	Local · À vérifier	Lokal · Prüfen	Local · Revisar
Cloud · Review	云端 · 请核对	クラウド · 要確認	클라우드 · 확인 필요	Nube · Revisar	Cloud · À vérifier	Cloud · Prüfen	Nuvem · Revisar
Translate	翻译	翻訳	번역	Traducir	Traduire	Übersetzen	Traduzir
Cancel	取消	キャンセル	취소	Cancelar	Annuler	Abbrechen	Cancelar
Use draft	填入草稿	下書きに反映	초안에 적용	Usar texto	Appliquer	Übernehmen	Usar texto
English	英语	英語	영어	Inglés	Anglais	Englisch	Inglês
Simplified Chinese	简体中文	簡体字中国語	중국어 간체	Chino simplificado	Chinois simplifié	Chinesisch (vereinfacht)	Chinês simplificado
Japanese	日语	日本語	일본어	Japonés	Japonais	Japanisch	Japonês
Korean	韩语	韓国語	한국어	Coreano	Coréen	Koreanisch	Coreano
Spanish	西班牙语	スペイン語	스페인어	Español	Espagnol	Spanisch	Espanhol
French	法语	フランス語	프랑스어	Francés	Français	Französisch	Francês
German	德语	ドイツ語	독일어	Alemán	Allemand	Deutsch	Alemão
Portuguese	葡萄牙语	ポルトガル語	포르투갈어	Portugués	Portugais	Portugiesisch	Português
Font: {}	字体：{}	フォント：{}	글꼴: {}	Fuente: {}	Police : {}	Schrift: {}	Fonte: {}
Search all settings	搜索全部设置	すべての設定を検索	모든 설정 검색	Buscar todos los ajustes	Rechercher un réglage	Alle Einstellungen suchen	Buscar configurações
Seed input	草稿输入	下書き入力	초안 입력	Borrador	Brouillon	Entwurf	Rascunho
Small	小	小	작게	Pequeño	Petit	Klein	Pequeno
Medium	中	中	보통	Mediano	Moyen	Mittel	Médio
Large	大	大	크게	Grande	Grand	Groß	Grande
Keep typed text	保留原文	入力を保持	입력 유지	Conservar texto	Garder le texte	Text beibehalten	Manter texto
Word · tap to commit	词语 · 点击发送	単語 · タップで確定	단어 · 눌러서 확정	Palabra · clic para enviar	Mot · clic pour envoyer	Wort · klicken zum Senden	Palavra · clique para enviar
primary sentence selected	已选中首选句子	第一候補を選択中	첫 문장 선택됨	Frase principal elegida	Phrase principale choisie	Hauptsatz ausgewählt	Frase principal selecionada
alternate sentence selected	已选中备选句子	別の候補を選択中	대체 문장 선택됨	Alternativa elegida	Autre phrase choisie	Alternative ausgewählt	Alternativa selecionada
sentence best match · tap to commit	最佳句子 · 点击发送	最適な文 · タップで確定	추천 문장 · 눌러서 확정	Mejor frase · clic para enviar	Meilleure phrase · clic pour envoyer	Bester Satz · klicken zum Senden	Melhor frase · clique para enviar
sentence {} phrase · tap to commit	{}句子 · 点击发送	{}の文 · タップで確定	{} 문장 · 눌러서 확정	Frase {} · clic para enviar	Phrase {} · clic pour envoyer	Satz {} · klicken zum Senden	Frase {} · clique para enviar
Draft has {} characters. Translate up to 1,000 at a time; nothing has been sent.	草稿共 {} 字符，每次最多翻译 1,000 字符；尚未发送。	下書きは{}文字です。1回1,000文字まで翻訳できます。未送信です。	초안은 {}자입니다. 한 번에 1,000자까지 번역하며 아직 전송하지 않았습니다.	El borrador tiene {} caracteres. Máximo 1.000 por traducción; no se ha enviado nada.	Le brouillon compte {} caractères. Maximum 1 000 par traduction ; rien n’a été envoyé.	Der Entwurf hat {} Zeichen. Höchstens 1.000 pro Übersetzung; nichts gesendet.	O rascunho tem {} caracteres. Máximo de 1.000 por tradução; nada foi enviado.
Translating… You can keep editing. Cancel discards the result, but cannot recall text already sent.	正在翻译…仍可编辑。取消会丢弃结果，但无法收回已发送的文本。	翻訳中…編集は続けられます。キャンセルしても送信済みの原文は取り消せません。	번역 중…계속 편집할 수 있습니다. 취소해도 이미 전송한 원문은 회수할 수 없습니다.	Traduciendo… Puedes seguir editando. Cancelar descarta el resultado, pero no retira el texto ya enviado.	Traduction… Vous pouvez continuer à modifier. Annuler écarte le résultat, sans rappeler le texte envoyé.	Übersetzung läuft… Bearbeiten bleibt möglich. Abbrechen verwirft das Ergebnis, ruft gesendeten Text aber nicht zurück.	Traduzindo… Você pode continuar editando. Cancelar descarta o resultado, mas não recupera o texto já enviado.
